tag,algo,repeat,fold,model__estimator__depth,model__estimator__iterations,model__estimator__l2_leaf_reg,model__estimator__learning_rate,model__n_features_to_select,model__estimator__class_weight,model__estimator__max_depth,model__estimator__max_features,model__estimator__min_samples_leaf,model__estimator__colsample_bytree,model__estimator__min_child_weight,model__estimator__n_estimators,model__estimator__reg_lambda,model__estimator__subsample,model__C,model__l1_ratio
L2,xgb,1,0,,,,0.032212712624635244,14.0,,1.0,,,0.6721198387339504,6.946095087981958,82.0,8.641034251606408,0.9626602393154923,,
L2,xgb,1,1,,,,0.09238764473385125,6.0,,2.0,,,0.8143863927313675,6.767820090310201,122.0,5.95413616100042,0.6879633212641241,,
L2,xgb,1,2,,,,0.022607895655653215,6.0,,1.0,,,0.8462373261872919,2.6325660357022693,126.0,0.8710747717993838,0.7353342287462796,,
L2,xgb,1,3,,,,0.09778236806309978,12.0,,4.0,,,0.6933681382612642,8.022396370249842,73.0,1.6195778737406015,0.7781015089039718,,
L2,xgb,1,4,,,,0.20339828658487882,12.0,,4.0,,,0.5194758192430791,1.9288430967066,54.0,3.9454688272164176,0.6321932294216771,,
L2,xgb,2,0,,,,0.09135836416083998,14.0,,4.0,,,0.563191573625079,2.8730953345315378,132.0,14.312466552262952,0.890799479107806,,
L2,xgb,2,1,,,,0.05397414831244243,12.0,,1.0,,,0.6210173108538988,2.1168753474795325,112.0,1.0971910522113126,0.9429492539384132,,
L2,xgb,2,2,,,,0.037211879558786784,12.0,,4.0,,,0.7264058503165017,1.3188272393741787,158.0,5.895818714549526,0.692841899135128,,
L2,xgb,2,3,,,,0.06232871052797461,6.0,,2.0,,,0.8141261641355877,6.184463925476285,157.0,7.9174561816477524,0.782648515348514,,
L2,xgb,2,4,,,,0.033391150730093036,14.0,,2.0,,,0.7751007873092031,2.044195411496171,139.0,7.1757048678998085,0.6477848558021985,,
L3,xgb,0,0,,,,0.15603829650828724,6.0,,3.0,,,0.7686866147245053,2.598136355466342,75.0,0.9942270999713079,0.8947672708515833,,
L3,xgb,0,1,,,,0.08502556424958278,18.0,,1.0,,,0.6147886068649128,2.6139952999364033,145.0,2.4489219684476113,0.9756511157694503,,
L3,xgb,0,2,,,,0.1677474003446763,18.0,,3.0,,,0.5922199328234576,3.5172830560296924,107.0,0.6707595065187708,0.8020984360486816,,
L3,xgb,0,3,,,,0.03913535297780827,18.0,,3.0,,,0.5203153685005116,2.759369398542878,84.0,0.8547944546726949,0.7812689204488517,,
L3,xgb,0,4,,,,0.03967896549498145,6.0,,1.0,,,0.5031151276022949,4.294999369292593,84.0,1.0367483509193451,0.9451972942396889,,
