tag,algo,imputer,repeat,fold,auc,inner_auc,n_train,n_test,seconds,kind
L5,rf,knn,0,2,0.7171717171717172,0.8856992544492545,151,38,27.762705326080322,sens
L5,rf,knn,0,3,0.8787878787878788,0.8787999037999038,151,38,20.33370065689087,sens
L5,rf,knn,0,4,0.9703703703703703,0.8754178691678691,152,37,17.62962317466736,sens
L5,rf,iterative,0,0,0.8821428571428571,0.8888047138047138,151,38,40.67303395271301,sens
L5,rf,iterative,0,1,0.8956228956228957,0.8852813852813853,151,38,41.34345006942749,sens
L5,rf,iterative,0,2,0.7205387205387205,0.8988305675805676,151,38,45.28702449798584,sens
L5,rf,iterative,0,3,0.9124579124579124,0.8626142376142376,151,38,43.76134490966797,sens
L5,rf,iterative,0,4,0.9666666666666666,0.8687349687349688,152,37,48.247631311416626,sens
L5,rf,locf,0,0,0.8678571428571429,0.9012626262626262,151,38,24.55203080177307,sens
L5,rf,locf,0,1,0.8754208754208754,0.8925444925444926,151,38,22.717148065567017,sens
L5,rf,locf,0,2,0.7306397306397306,0.9048971861471862,151,38,27.606223583221436,sens
L5,rf,locf,0,3,0.8922558922558922,0.8673310485810486,151,38,25.582515239715576,sens
L5,rf,locf,0,4,0.9925925925925926,0.8762085137085136,152,37,30.873921632766724,sens
L1,xgb,median,0,0,0.8053571428571429,0.7742845117845117,151,38,5.621615886688232,cv
L1,xgb,median,0,1,0.8552188552188553,0.7905964405964407,151,38,9.611547708511353,cv
L1,xgb,median,0,2,0.6902356902356902,0.8189574314574315,151,38,17.288591623306274,cv
L1,xgb,median,0,3,0.7979797979797979,0.7609397546897546,151,38,15.198503255844116,cv
L1,xgb,median,0,4,0.788888888888889,0.7676737614237614,152,37,23.794915676116943,cv
L1,xgb,median,1,0,0.8250000000000001,0.7922138047138045,151,38,13.667999982833862,cv
L1,xgb,median,1,1,0.8316498316498316,0.7579635642135643,151,38,16.007495641708374,cv
L1,xgb,median,1,2,0.8989898989898989,0.782521645021645,151,38,20.944236755371094,cv
L1,xgb,median,1,3,0.7760942760942761,0.7853294853294854,151,38,12.492557287216187,cv
L1,xgb,median,1,4,0.6370370370370371,0.8372564935064934,152,37,10.22511339187622,cv
L1,xgb,median,2,0,0.7535714285714286,0.8303030303030302,151,38,17.223313808441162,cv
L1,xgb,median,2,1,0.744107744107744,0.8056727994227993,151,38,14.70491337776184,cv
L1,xgb,median,2,2,0.898989898989899,0.7806848244348243,151,38,14.44251036643982,cv
L1,xgb,median,2,3,0.8181818181818182,0.7871302308802308,151,38,12.405139446258545,cv
L1,xgb,median,2,4,0.8444444444444443,0.7813431938431938,152,37,23.677844524383545,cv
L2,xgb,median,0,0,0.7946428571428572,0.8233585858585859,151,38,36.74715995788574,cv
L2,xgb,median,0,1,0.8619528619528619,0.7950727513227512,151,38,16.473877429962158,cv
L2,xgb,median,0,2,0.632996632996633,0.8481902356902358,151,38,22.13569688796997,cv
L2,xgb,median,0,3,0.8552188552188551,0.7898734367484367,151,38,21.779792070388794,cv
L2,xgb,median,0,4,0.9222222222222222,0.8111261423761424,152,37,24.393295764923096,cv
L2,xgb,median,1,0,0.9357142857142857,0.7851010101010101,151,38,19.330735683441162,cv
L2,xgb,median,1,1,0.8956228956228955,0.7769811207311208,151,38,27.96796178817749,cv
